,TIMESTAMP,ContextTokens,GeneratedTokens
0,0.0,4808,10
1,0.052,3180,8
2,0.098189,110,27
3,0.140684,7433,14
4,0.444994,34,12
5,0.539187,374,14
6,0.698571,6985,9
7,1.016041,34,23
8,1.299312,1145,7
9,1.299337,201,24
10,1.398922,137,9
11,1.399087,7427,8
12,29.479069,1555,19
13,29.580407,3893,19
14,29.610325,1827,10
15,29.679153,394,17
16,29.717488,675,6
17,30.177869,7436,9
18,30.225731,158,26
19,30.482726,6587,18
20,30.503459,763,8
21,30.983655,1556,18
22,31.285416,5108,12
23,31.454687,159,127
24,31.455017,458,67
25,31.640022,2464,30
26,31.807122,4009,51
27,32.627382,1632,9
28,32.707961,2567,45
29,33.079995,730,36
30,33.340075,5108,10
31,33.534078,2569,7
32,33.57925,1832,7
33,33.586648,1630,9
34,33.679708,6587,13
35,33.681467,7436,6
36,33.781008,1044,16
37,33.880063,327,124
38,33.983035,1630,9
39,34.284439,3351,9
40,34.445908,1562,18
41,34.878972,3724,9
42,34.979189,328,43
43,35.034123,965,8
44,35.34715,6586,11
45,35.3545,2366,7
46,35.799358,328,40
47,35.980991,1513,29
48,36.280487,328,9
49,36.649398,2025,9
50,36.704026,2169,13
51,36.779047,74,14
52,37.379423,771,142
53,37.42317,76,18
54,37.898202,75,16
55,38.079791,527,27
56,38.211415,2024,97
57,38.680538,197,7
58,38.691529,109,12
59,38.887152,432,10
60,39.080624,2025,19
61,39.285966,6586,9
62,39.327517,7435,9
63,183.061791,2648,15
64,183.157936,2564,9
65,183.159022,3245,15
66,183.260172,2144,9
67,183.458074,2128,13
68,183.459909,7436,8
69,183.562835,250,6
70,183.656554,1177,23
71,183.656608,2743,38
72,187.159342,144,18
73,187.258307,88,19
74,187.259029,6819,82
75,187.361558,1179,13
76,187.558571,3154,9
77,187.559396,7435,13
78,187.56574,2656,11
79,187.66134,236,226
80,188.255371,90,25
81,188.2567,3631,15
82,188.2594,1901,20
83,188.262212,318,9
84,188.35417,4556,16
85,188.362128,5925,52
86,188.364166,43,33
87,188.366331,134,18
88,188.45427,163,13
89,188.457644,3286,15
90,188.45827,522,14
91,188.561441,583,6
92,191.098907,318,7
93,191.359204,147,17
94,191.359358,5025,17
95,191.558108,4557,9
96,191.658813,1468,6
97,191.658946,164,18
98,191.659915,584,24
99,192.162141,523,9
100,192.354682,61,9
101,192.355804,1724,11
102,192.363941,1891,16
103,192.363964,2507,6
104,192.457899,2147,22
105,192.457989,3066,6
106,192.460539,118,9
107,192.460589,2657,11
108,192.461721,4556,25
109,192.560864,5926,121
110,192.563059,7435,6
111,192.655198,149,20
112,195.262628,3658,6
113,195.361958,3397,7
114,195.362098,5927,21
115,195.36316,1894,7
116,195.454183,2647,6
117,195.462959,169,25
118,195.55988,138,29
119,195.656327,5928,6
120,195.659166,154,7
121,195.660499,1107,13
122,195.759354,1894,19
123,195.959029,2647,12
124,195.960524,1182,18
125,195.962219,1650,11
126,196.05413,5538,697
127,196.055315,526,7
128,196.256081,152,15
129,196.259772,4566,20
130,196.357632,7419,6
131,196.361443,46,25
132,196.362445,2862,13
133,196.454172,1724,32
134,196.55718,1724,16
135,196.561618,155,30
136,196.654591,81,15
137,196.658666,1650,13
138,196.659413,1364,9
139,196.659627,1908,22
140,196.661598,123,15
141,196.662475,81,7
142,196.754332,1724,15
143,196.760425,247,84
144,196.765727,3854,10
145,196.766926,83,6
146,196.862305,156,21
147,196.862354,247,71
148,196.957373,3066,12
149,196.957472,3517,11
150,196.958936,2081,6
151,196.96163,143,12
152,197.060204,2649,20
153,197.157665,2655,9
154,197.257388,1724,18
155,197.262359,2128,13
156,197.357431,3067,9
157,197.361416,2926,12
158,197.460297,1900,46
159,197.460578,2047,106
160,197.461669,5923,55
161,197.560814,2971,9
162,197.561623,2156,13
163,197.660334,573,6
164,197.661842,14,10
165,197.662952,232,6
166,197.666766,3284,7
167,197.757794,1364,9
168,197.759316,161,16
169,197.762444,316,23
170,197.956059,2084,16
171,197.958569,2068,11
172,197.962759,1180,39
173,198.256738,2654,17
174,198.261235,146,16
175,198.36061,318,11
176,198.362513,3288,10
177,198.458535,252,17
178,198.459715,35,14
179,198.556942,337,13
180,198.557005,109,6
181,198.559614,148,43
182,198.560831,985,27
183,198.563089,2136,8
184,198.566785,2657,7
185,198.761335,3289,15
186,198.763149,2136,12
187,198.857267,135,6
188,198.860735,181,105
189,198.954274,3399,10
190,198.959631,1067,9
191,198.960649,5831,11
192,198.960841,153,15
193,198.963892,527,7
194,198.965917,1905,17
195,198.977276,1293,25
196,199.057958,1180,6
197,199.05802,61,21
198,199.073379,1278,9
199,199.089585,65,10
200,199.173472,217,9
201,199.25647,287,9
202,199.256526,3064,15
203,199.256607,116,10
204,199.259161,1638,9
205,199.259245,3396,7
206,199.373513,2077,15
207,199.373602,4629,6
208,199.373666,1084,6
209,199.374811,1259,8
210,199.477409,7332,26
211,199.480762,4081,29
212,199.675747,1137,58
213,199.759395,1430,12
214,199.774371,596,6
215,199.855349,174,18
216,199.861707,2969,25
217,199.863993,2157,7
218,199.87545,596,67
219,199.954479,175,18
220,199.960484,108,11
221,199.961506,161,11
222,199.961529,3399,19
223,199.975999,1278,9
224,200.073242,296,6
225,200.081871,4629,6
226,200.082323,842,7
227,200.375004,220,6
228,200.37501,4771,16
229,200.573257,1059,9
230,200.573318,1087,6
231,200.675134,14,9
232,200.775816,1326,6
233,200.975697,627,48
234,200.979972,4769,9
235,201.17319,1326,6
236,201.68531,1195,9
237,201.7779,40,16
238,201.875168,2187,13
239,201.87518,4083,41
240,202.006303,846,12
241,202.111355,1260,19
242,202.134513,1197,6
243,202.273258,7435,13
244,202.277007,6051,13
245,202.773187,1196,18
246,203.206651,847,32
247,203.23549,7436,11
248,203.573307,1257,9
249,203.677115,4770,39
250,203.918889,847,26
251,204.360868,848,8
252,204.573952,694,155
253,204.774484,7435,13
254,204.799519,847,8
255,204.807401,1748,15
256,205.002927,7335,11
257,205.175449,4803,13
258,205.176524,1200,6
259,205.473179,694,16
260,205.475185,1490,6
261,205.479641,6054,6
262,205.575067,847,13
263,205.677197,1201,12
264,213.74522,1141,22
265,213.841126,377,11
266,213.943694,7421,13
267,214.035739,389,12
268,214.040724,1144,10
269,214.041441,3640,14
270,214.14329,968,16
271,214.144006,3376,118
272,214.236223,2436,7
273,214.736946,481,11
274,214.739532,2165,10
275,214.741692,103,13
276,214.741704,3548,15
277,214.942377,483,9
278,215.040119,2113,145
279,215.041212,2436,14
280,215.044881,2437,13
281,215.139837,1292,70
282,215.141022,7429,9
283,215.240982,7408,12
284,215.242028,484,10
285,215.243917,2575,16
286,215.244977,2113,123
287,215.338972,1282,15
288,215.340513,2595,186
289,215.438342,1852,12
290,215.440798,878,17
291,215.537674,945,9
292,215.543269,7419,8
293,215.543467,1148,39
294,215.54442,55,6
295,215.743131,239,10
296,215.834952,55,8
297,215.840685,56,9
298,216.641509,486,16
299,216.838239,176,88
300,216.839194,881,12
301,216.839459,1156,17
302,218.543052,971,40
303,218.543131,1006,7
304,219.607349,2860,239
305,219.607424,5219,8
306,219.63589,1922,6
307,219.638926,3378,8
308,219.703701,2872,20
309,219.740119,1175,9
310,219.798983,6606,11
311,219.806847,2005,13
312,219.838077,882,11
313,219.841229,881,8
314,219.841339,1292,70
315,219.901008,387,10
316,220.004426,2172,14
317,220.008362,2001,6
318,220.102227,387,9
319,220.103345,5423,9
320,220.103487,35,17
321,220.336173,879,14
322,220.421084,917,11
323,220.499415,4028,218
324,220.535305,3379,7
325,220.54082,3945,26
326,221.403578,89,8
327,221.403699,1202,7
328,221.403806,6607,11
329,221.501983,1294,6
330,221.502057,6906,302
331,221.502762,917,11
332,221.509521,1096,16
333,221.603347,1291,22
334,221.69752,50,66
335,221.798769,1847,8
336,221.804921,736,21
337,221.898021,5431,12
338,222.183755,1575,28
339,222.184804,727,7
340,222.282409,45,16
341,222.282488,2353,12
342,222.381601,194,6
343,222.387461,5881,6
344,222.388415,3253,73
345,222.478609,194,6
346,222.481635,1233,153
347,222.483403,195,13
348,222.488779,195,14
349,222.540412,2596,13
350,222.543615,1258,16
351,222.579109,5697,19
352,222.579359,1031,9
353,222.585032,5699,7
354,222.585073,1648,10
355,222.642097,552,12
356,222.642139,1861,9
357,222.679161,4681,58
358,222.679269,5801,7
359,222.685489,729,17
360,222.735159,879,8
361,222.782148,5886,8
362,222.78216,3765,9
363,222.783179,3760,13
364,222.785094,53,42
365,222.842356,108,15
366,223.549172,134,6
367,223.637005,7436,10
368,223.638133,58,13
369,223.936508,63,8
370,223.939557,1863,15
371,224.186035,65,16
372,224.282546,2670,6
373,224.288364,5801,91
374,224.388499,5801,37
375,224.408553,52,18
376,224.500221,92,15
377,224.583465,1291,48
378,224.587172,1916,9
379,224.600468,4030,72
380,224.609477,2555,11
381,224.638526,130,13
382,224.6429,768,11
383,224.683289,1469,10
384,224.68543,1879,18
385,224.687444,2241,10
386,224.68838,2976,16
387,224.688387,201,121
388,224.739657,945,9
389,224.739808,111,23
390,224.805737,53,44
391,224.835576,2174,8
392,224.835654,2215,16
393,224.899276,6611,10
394,224.8993,1747,9
395,224.899527,6919,16
396,224.936559,6646,14
397,224.942477,2608,33
398,225.103142,2553,11
399,225.106049,5442,11
400,225.137128,110,12
401,225.241933,324,10
402,225.242085,883,10
403,225.434449,928,6
404,225.536992,1292,12
405,225.537853,2608,34
406,225.537998,2123,21
407,225.834202,2116,33
408,225.935297,2287,10
409,225.9362,882,11
410,226.50037,45,11
411,226.604576,738,21
412,226.809249,859,14
413,226.898314,5452,10
414,226.903711,6478,41
415,227.00493,266,52
416,227.006051,859,22
417,227.007204,4035,25
418,227.087986,4684,6
419,227.099837,94,14
420,227.105281,6918,49
421,227.202835,50,20
422,227.209341,6608,11
423,227.300409,46,21
424,227.406875,97,10
425,227.597559,46,13
426,227.598445,5461,13
427,227.598457,4991,9
428,227.603498,1969,100
429,227.604333,4821,23
430,227.684858,2979,11
431,227.779826,1034,12
432,227.786785,736,12
433,227.883352,5801,61
434,227.885477,2979,19
435,227.889236,2242,17
436,228.184951,163,53
437,228.186185,2679,222
438,228.189175,1469,10
439,228.278645,193,11
440,228.279458,313,26
441,228.283667,5803,6
442,228.283828,4685,6
443,228.289182,1038,9
444,228.379802,72,9
445,228.480667,1469,10
446,228.482877,4530,11
447,228.486849,1650,39
448,229.598173,46,9
449,229.602302,47,12
450,229.703377,94,13
451,229.703488,5473,7
452,229.703616,661,22
453,230.003044,5473,7
454,230.006963,3330,21
455,230.007911,661,12
456,230.008014,1980,9
457,230.404965,3286,37
458,230.499596,94,8
459,230.598243,3286,19
460,230.605378,863,16
461,230.609012,865,16
462,230.698152,3287,9
463,230.701193,5590,76
464,230.702835,1981,7
465,230.80437,97,8
466,230.807155,2124,13
467,230.900082,5479,13
468,230.903175,50,9
469,231.504817,3325,12
470,231.60086,429,9
471,231.600946,10,7
472,231.601869,863,15
473,231.604491,5503,9
474,231.702628,1338,11
475,231.70362,3324,6
476,231.703778,5491,13
477,231.706316,1397,9
478,231.707169,10,16
479,231.708159,2130,12
480,231.801773,4829,16
481,231.803364,98,12
482,231.804211,863,9
483,231.999194,1802,15
484,232.003155,3326,11
485,232.003212,5511,12
486,232.004172,100,6
487,232.005053,866,18
488,232.103697,103,10
489,232.201325,2130,8
490,232.202429,5480,22
491,232.206398,7435,21
492,232.3029,2130,10
493,232.397817,50,53
494,232.40233,14,89
495,232.402467,3287,70
496,232.604644,7436,25
497,232.604917,2956,116
498,232.697522,866,33
499,232.801087,866,14
500,232.805069,175,361
501,232.805136,6922,300
502,232.898541,60,19
503,232.901065,15,85
504,232.903541,5522,12
505,232.907489,876,33
506,232.998524,1397,9
507,232.999569,5213,16
508,233.084696,74,18
509,233.086611,1001,12
510,233.099895,5533,6
511,233.101584,15,188
512,233.106428,6490,7
513,233.108603,301,12
514,233.10861,876,59
515,233.183969,3898,6
516,233.183993,1125,14
517,233.185016,3251,27
518,233.186001,3738,65
519,233.200241,3330,9
520,233.202628,5214,9
521,233.203802,4057,12
522,233.383754,1264,9
523,233.38393,1027,27
524,233.400018,137,15
525,233.400098,4057,24
526,233.40109,15,10
527,233.483048,81,10
528,233.500359,4990,12
529,233.688127,1026,17
530,233.698761,17,88
531,233.703911,2653,7
532,233.803418,430,28
533,233.902437,2653,8
534,233.999136,497,16
535,234.003193,7434,12
536,234.008376,1421,25
537,234.083435,1264,9
538,234.098552,2654,7
539,234.103702,17,206
540,234.197785,15,248
541,234.20347,408,7
542,234.308526,17,43
543,234.478601,5806,43
544,234.479612,4685,6
545,234.483941,3315,28
546,234.484014,5803,87
547,234.506999,409,56
548,234.507209,143,9
549,234.509529,2284,11
550,234.580627,1469,10
551,234.681408,1059,10
552,234.685451,406,14
553,234.687772,75,19
554,234.707102,2963,79
555,234.785089,7433,12
556,234.78513,1496,23
557,234.786916,3320,27
558,234.788283,1471,8
559,234.79747,145,12
560,234.997592,18,55
561,235.00021,3268,14
562,235.079241,7436,14
563,235.080458,200,12
564,235.084654,1495,6
565,235.086505,1473,14
566,235.08752,196,6
567,235.099635,5538,13
568,235.178808,1880,13
569,235.280009,76,17
570,235.281071,4688,52
571,235.287596,1037,9
572,235.288382,1498,8
573,235.298892,997,638
574,235.398522,146,8
575,235.481812,6,12
576,235.482882,5806,51
577,235.483034,198,11
578,235.580826,3616,18
579,235.58401,1472,9
580,235.58413,1498,9
581,235.585177,80,9
582,235.681512,1053,9
583,235.686707,881,10
584,235.686719,1042,10
585,235.779632,4695,48
586,235.797804,52,17
587,235.882215,1497,9
588,235.884471,79,9
589,235.897715,504,10
590,235.898835,896,14
591,235.98429,202,6
592,235.998289,100,18
593,236.000059,145,12
594,261.147749,1164,18
595,261.263431,2546,11
596,261.368159,2132,71
597,261.369018,1205,12
598,261.370279,3738,10
599,261.635999,3634,7
600,261.734957,1542,8
601,261.735042,3296,24
602,261.737439,2616,18
603,261.834815,4662,10
604,261.834893,675,7
605,261.834942,101,12
606,261.838687,1456,13
607,262.202819,1875,7
608,262.202893,2615,22
609,262.257048,3634,6
610,262.334616,2547,6
611,262.527044,1087,11
612,262.635227,6055,10
613,262.635467,248,9
614,262.654855,1165,42
615,262.757253,2822,56
616,263.03504,678,16
617,263.135148,2615,24
618,263.135326,120,17
619,263.235607,100,13
620,263.43692,7436,12
621,263.778946,965,9
622,263.835924,2547,11
623,263.851864,2616,19
624,263.893076,1549,67
625,264.135464,6056,8
626,264.234931,1201,6
627,264.256568,924,13
628,264.257149,251,49
629,264.334975,3297,12
630,264.4364,2132,43
631,264.596435,2096,7
632,264.693139,264,8
633,264.967754,2133,33
634,265.097945,1872,19
635,265.289243,7436,13
636,265.437883,1163,16
637,265.53979,56,18
638,265.774385,599,6
639,265.858281,264,14
640,265.872284,908,23
641,265.944184,1163,10
642,269.161376,2755,9
643,269.254126,3014,6
644,269.255055,337,66
645,269.458197,2545,7
646,269.458394,143,6
647,269.55429,349,13
648,269.555711,5901,7
649,269.878327,174,10
650,269.954242,4078,12
651,269.955743,7435,10
652,269.985735,229,15
653,270.058812,173,11
654,270.254881,1432,25
655,270.52792,2386,148
656,271.255093,840,10
657,271.354839,5957,13
658,271.454269,3511,45
659,271.455356,3014,13
660,271.854371,172,14
661,271.975372,4078,13
662,272.10934,5902,21
663,272.154157,2605,792
664,272.155015,7435,9
665,272.178888,3513,14
666,272.731542,172,21
667,272.74577,2504,16
668,273.155549,1433,14
669,273.257174,338,7
670,273.457309,2504,17
671,273.718094,1094,10
672,273.920387,3768,41
673,273.9542,1433,16
674,274.059592,2867,6
675,274.064254,5804,61
676,274.15778,173,16
677,274.254131,4075,10
678,274.25529,2867,7
679,274.274136,5961,11
680,274.356574,7412,14
681,274.361189,2506,10
682,274.454386,144,6
683,274.564049,2559,53
684,274.754433,3514,87
685,274.756178,41,8
686,274.857101,1263,30
687,274.858828,2507,6
688,274.95598,2390,6
689,274.956238,2093,9
690,275.054486,2868,14
691,275.059949,174,9
692,275.457308,200,10
693,275.55614,718,6
694,275.671895,3514,49
695,275.685156,3777,15
696,275.754316,2868,17
697,276.054291,201,8
698,276.059046,5963,7
699,276.432877,1951,48
700,276.68898,178,8
701,276.762646,1698,6
702,276.854204,173,15
703,276.854384,7435,139
704,276.954419,363,8
705,277.454429,1953,15
706,277.55774,292,15
707,277.796074,3385,22
708,278.054378,3515,54
709,278.15456,41,36
710,278.263157,204,63
711,278.394858,336,9
712,278.604837,4075,24
713,278.656277,179,11
714,278.754943,1434,18
715,279.009831,224,12
716,279.073615,2403,37
717,281.904945,127,71
718,282.125894,3265,7
719,282.150012,55,777
720,282.199111,146,35
721,282.231318,3480,13
722,282.319198,2003,46
723,282.498095,148,10
724,282.967699,3480,12
725,283.028216,4750,19
726,283.56511,3480,10
727,283.598201,148,32
