,TIMESTAMP,ContextTokens,GeneratedTokens
0,0.0,374,44
1,4.314579,396,109
2,4.541877,879,55
3,4.710427,91,16
4,5.892655,91,16
5,6.311529,381,84
6,7.745497,1313,142
7,8.251431,388,84
8,8.337079,242,14
9,8.464985,209,152
10,8.700213,394,124
11,9.427468,394,59
12,9.582558,1315,174
13,10.106379,2221,15
14,10.546126,389,90
15,11.157911,415,106
16,11.430904,120,12
17,11.836633,369,74
18,12.886545,206,162
19,13.025088,1353,142
20,13.049843,197,152
21,14.05955,181,154
22,14.09778,388,54
23,14.293309,4085,62
24,17.420918,2584,170
25,17.792938,203,147
26,18.160513,126,194
27,18.463892,389,87
28,18.979439,2548,116
29,19.913927,91,16
30,19.945197,4081,74
31,20.478941,181,123
32,20.658353,191,217
33,20.941916,27,183
34,21.370065,203,217
35,21.375087,398,81
36,22.712872,126,172
37,22.994856,209,181
38,23.371403,209,181
39,24.146296,28,175
40,24.768385,437,88
41,24.894961,181,104
42,25.081422,203,138
43,25.223379,200,177
44,25.24984,4073,58
45,25.324254,91,16
46,25.917107,1087,401
47,26.254478,382,64
48,26.407057,412,102
49,26.461144,194,217
50,27.330266,203,217
51,27.552529,200,217
52,28.090234,64,174
53,28.353357,458,123
54,28.578535,1352,158
55,28.607772,874,404
56,28.764379,378,58
57,29.340288,91,16
58,29.686078,4074,50
59,30.181499,389,89
60,31.269171,212,183
61,31.62049,1085,394
62,31.760229,407,131
63,31.917003,396,82
64,32.388505,1029,399
65,33.235882,962,399
66,33.413528,203,217
67,33.491001,898,94
68,33.52677,181,253
69,33.645713,320,18
70,33.748702,1119,414
71,33.825,124,157
72,33.932529,1313,179
73,34.746446,1096,383
74,35.294069,400,102
75,36.138512,1057,424
76,36.520417,203,162
77,36.864739,1314,216
78,37.124806,2,93
79,37.475965,1065,409
80,38.15493,372,60
81,38.392642,4094,82
82,38.549044,1104,394
83,38.813332,1075,415
84,39.091915,4088,37
85,39.220584,1225,372
86,39.324127,1118,426
87,39.637764,380,102
88,39.645191,1133,385
89,40.041867,42,167
90,40.350634,2590,50
91,40.479164,1140,377
92,41.125873,126,203
93,41.357391,431,84
94,42.334055,1115,421
95,42.529693,206,179
96,42.530625,400,91
97,42.545263,1123,396
98,42.56382,862,379
99,42.685223,859,422
100,42.691238,890,402
101,42.7153,1192,419
102,42.808573,899,403
103,42.999747,163,224
104,43.193461,181,212
105,43.589055,416,88
106,43.60991,1163,426
107,43.791124,243,14
108,43.893426,1041,428
109,43.923071,1350,146
110,44.040741,1104,396
111,44.061321,1127,426
112,44.828079,1114,414
113,45.009757,1083,396
114,45.025513,1313,173
115,45.104946,888,395
116,45.120367,13,130
117,45.174957,874,89
118,45.246852,1065,395
119,45.502752,1157,426
120,45.530242,1077,390
121,45.980822,2903,59
122,46.102321,4079,27
123,46.190439,1149,411
124,46.230075,996,389
125,46.406559,990,394
126,46.626689,197,183
127,46.678144,4107,49
128,47.209725,197,217
129,47.45994,1378,407
130,47.734062,1214,421
131,47.925302,1016,375
132,48.032991,1186,398
133,48.045529,4076,60
134,48.134608,1100,426
135,48.296375,218,217
136,48.709657,1232,419
137,48.995607,975,416
138,49.227038,209,217
139,49.561183,181,85
140,49.587457,1029,388
141,49.660912,888,418
142,49.72448,1113,375
143,49.742685,1035,520
144,49.742691,1009,425
145,49.832434,869,450
146,49.87843,1183,431
147,50.228524,972,395
148,50.486136,1097,396
149,50.631087,206,183
150,50.654982,181,208
151,50.657657,1316,200
152,50.741785,908,456
153,50.894221,1094,422
154,50.908333,996,422
155,50.995179,420,89
156,51.121242,1112,385
157,51.365096,1133,396
158,51.479026,890,403
159,51.621416,833,36
160,51.678347,1093,426
161,51.940252,206,211
162,52.12022,898,454
163,52.227631,1312,180
164,52.248622,1129,396
165,52.25784,375,67
166,52.883306,862,425
167,53.143328,167,179
168,53.17204,914,414
169,53.563248,209,217
170,53.706456,982,594
171,53.992761,200,161
172,54.022464,1313,156
173,54.117659,999,416
174,55.083021,1084,397
175,55.110396,399,106
176,55.33965,1065,594
177,56.58782,1036,446
178,56.96542,1243,398
179,57.217515,1128,384
180,57.280079,1000,375
181,57.414624,992,56
182,57.452439,920,87
183,57.492631,1040,388
184,57.503945,411,101
185,57.511147,900,91
186,57.577696,1018,425
187,57.780753,4082,44
188,58.265729,395,99
189,58.464914,209,217
190,59.99352,181,113
191,60.1722,1118,414
192,60.183596,972,392
193,60.426171,1847,53
194,60.648144,392,96
195,60.778525,197,217
196,60.831569,975,409
197,60.872432,1025,443
198,61.145266,1027,388
199,61.263537,1143,409
200,61.285563,1028,394
